generated_at,command,row_type,task,dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,seed,parameter_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,student_df,train_rmse,test_rmse,test_minus_train_rmse,train_mae,test_mae,train_r2,test_r2,fit_runtime_seconds,literature_context,literature_rmse,literature_metric,directly_comparable,note,source,stage,stage_description,molecule_count,success_count,failure_count,total_runtime_seconds,molecules_per_second,median_latency_us,p95_latency_us,peak_rss_mb
20260420_152836,qm9,predictive_summary,qm9 / moladt_featurized_geom,qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,,long:fractional_0.8/0.1/0.1,133885.0,133885.0,107108.0,13389.0,,,,,,,,,,,,0.0722907079354446,0.09229494108842443,0.02000423315297982,0.05043383076701778,0.05562981595110329,0.9977773430608573,0.9964639797579359,29335.97700570902,DTNN MAE 2.350,,MAE,partial,"MoleculeNet Table 3 is the paper baseline. The metric matches MAE, but the local split and training recipe still differ from the original DTNN benchmark. MoleculeNet Table 3 graph-based baseline for QM9. The paper metric is MAE, but the local split and model family still differ from the original benchmark.",https://pmc.ncbi.nlm.nih.gov/articles/PMC5868307/,,,,,,,,,,
20260420_152836,qm9,predictive_metric,qm9 / moladt_featurized_geom / train,qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,train,long:fractional_0.8/0.1/0.1,133885.0,133885.0,107108.0,107108.0,294,1,ensemble,1763175,0.0722907079354446,0.05043383076701778,0.9977773430608573,-2612973214.007304,2.8009112297867574e-05,1.0000000000000004e-06,,,,,,,,,29335.97700570902,,,,,,,,,,,,,,,,
20260420_152836,qm9,predictive_metric,qm9 / moladt_featurized_geom / valid,qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,valid,long:fractional_0.8/0.1/0.1,133885.0,133885.0,107108.0,13388.0,294,1,ensemble,1763175,0.08142450501813915,0.05450333825429938,0.9969888086491656,-3314974995.827912,0.0,1.0000000000000002e-06,,,,,,,,,29335.97700570902,,,,,,,,,,,,,,,,
20260420_152836,qm9,predictive_metric,qm9 / moladt_featurized_geom / test,qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,test,long:fractional_0.8/0.1/0.1,133885.0,133885.0,107108.0,13389.0,294,1,ensemble,1763175,0.09229494108842443,0.05562981595110329,0.9964639797579359,-4259178062.361297,0.0,1.0000000000000002e-06,,,,,,,,,29335.97700570902,,,,,,,,,,,,,,,,
