variant_code,variant,description,split,n_splits,n_eval_mean,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,mean_log_predictive_density_mean,coverage_90_mean,predictive_sd_mean,wl_token_count,system_token_count,feature_count
A,atom_bag,"atoms only, no connectivity",train,20,577.0,1.6726741073395417,0.04282446156166223,1.2474149079400405,0.0319135948247592,0.8110583146442701,-1.9608209901134646,0.9499133448873482,1.9190018736579435,11,0,11
A,atom_bag,"atoms only, no connectivity",valid,20,64.0,1.9477094179065653,0.2610479129142246,1.5103190509059767,0.13065933056673118,0.7320040378276235,-2.106100917969711,0.92421875,2.0091081809127744,11,0,11
A,atom_bag,"atoms only, no connectivity",test,20,65.0,1.8567621743660048,0.36128505213155737,1.3757245369732374,0.15302802193498255,0.7438718160385072,-2.0732994655130472,0.9338461538461539,2.0177529299201806,11,0,11
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,train,20,577.0,0.02197680610057707,0.005324748183056446,0.00999730625038242,0.002609403253360193,0.9999655436671102,0.8002355477646537,1.0,0.1823886005711159,8168,0,8168
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,valid,20,64.0,1.1790101755196392,0.15067035994625527,0.7830502084101774,0.08332358104814058,0.9003508721931365,-1.5277831248614218,0.93515625,1.4598223585064327,8168,0,8168
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,test,20,65.0,1.048695247808904,0.1419480790931875,0.712184734890223,0.07319085856487707,0.918224263523163,-1.4785743229429475,0.9430769230769231,1.4521171493626637,8168,0,8168
C,full_moladt,full MolADT WL plus explicit bonding-system token view,train,20,577.0,0.036592842096351184,0.007542500193042365,0.020627144998969966,0.004654127611846072,0.9999057346623152,0.6379105077277137,0.9986135181975737,0.2092525343086396,8169,227,8396
C,full_moladt,full MolADT WL plus explicit bonding-system token view,valid,20,64.0,0.9820555199826974,0.17422652490675392,0.6370054338531552,0.08582697668713989,0.9306296921192942,-1.280519420874466,0.92578125,1.0843024873032525,8169,227,8396
C,full_moladt,full MolADT WL plus explicit bonding-system token view,test,20,65.0,0.9037701831291745,0.1676862456900038,0.5940061869365356,0.08663753392131311,0.9392862541623993,-1.2580265718315704,0.9284615384615386,1.1036457376910092,8169,227,8396
