generated_at,command,row_type,task,dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,seed,parameter_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,student_df,train_rmse,test_rmse,test_minus_train_rmse,train_mae,test_mae,train_r2,test_r2,fit_runtime_seconds,literature_context,literature_rmse,literature_metric,directly_comparable,note,source,stage,stage_description,molecule_count,success_count,failure_count,total_runtime_seconds,molecules_per_second,median_latency_us,p95_latency_us,peak_rss_mb
20260510_181716,freesolv,predictive_summary,freesolv / moladt,freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,,moleculenet_random_like:513/64/65;final_refit=train+valid,642.0,642.0,577.0,65.0,,,,,,,,,,,,0.04545745392869427,0.6384320681753162,0.5929746142466219,0.026747203152994316,0.4120496563860762,0.9998640307057091,0.9617567626653868,2.3410133330035023,MPNN RMSE 1.150,1.15,RMSE,partial,"MoleculeNet Table 3 is the paper baseline. The local result is the fixed MolADT benchmark run on the repo split, so the metric matches but the split and model family still differ. MoleculeNet Table 3 graph-based baseline for FreeSolv. The metric matches, but the local split and model family still differ from the paper.",https://pmc.ncbi.nlm.nih.gov/articles/PMC5868307/,,,,,,,,,,
20260510_181716,freesolv,predictive_metric,freesolv / moladt / train,freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642.0,642.0,577.0,577.0,8396,1,18,6,0.04545745392869427,0.026747203152994316,0.9998640307057091,0.46258021527589954,0.9982668977469671,0.24665216830982883,,,,,,,,,2.3410133330035023,,,,,,,,,,,,,,,,
20260510_181716,freesolv,predictive_metric,freesolv / moladt / valid,freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642.0,642.0,513.0,64.0,8396,1,18,6,1.1177673038215503,0.664860588145261,0.9386481326462534,-1.4450601453551686,0.90625,0.9971049578460274,,,,,,,,,2.3410133330035023,,,,,,,,,,,,,,,,
20260510_181716,freesolv,predictive_metric,freesolv / moladt / test,freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642.0,642.0,577.0,65.0,8396,1,18,6,0.6384320681753162,0.4120496563860762,0.9617567626653868,-0.9822591127175025,0.9538461538461539,1.141685162365883,,,,,,,,,2.3410133330035023,,,,,,,,,,,,,,,,
