dataset,representation,model,method,split,seed,nominal_coverage,empirical_coverage
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,18,0.5,0.8307692307692308
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,18,0.8,0.9538461538461539
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,18,0.9,0.9538461538461539
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,18,0.95,0.9846153846153847
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,18,0.5,0.9792027729636048
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,18,0.8,0.9982668977469671
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,18,0.9,0.9982668977469671
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,18,0.95,1.0
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,18,0.5,0.640625
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,18,0.8,0.859375
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,18,0.9,0.90625
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,18,0.95,0.9375
