dataset,representation,target,model,method,parameter_type,parameter_name,feature_group,equation_term,draw_count,runtime_seconds,posterior_mean,posterior_abs_mean,posterior_sd,posterior_median,posterior_p05,posterior_p95,importance_rank
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.2100849999987986,0.08938481181996646,0.08938481181996646,0.0,0.08938481181996646,0.08938481181996646,0.08938481181996646,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.2100849999987986,-3.81317157712305,3.81317157712305,0.0,-3.81317157712305,-3.81317157712305,-3.81317157712305,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.2100849999987986,3.8833749762626835,3.8833749762626835,0.0,3.8833749762626835,3.8833749762626835,3.8833749762626835,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.22751783399871783,1.6675521078654767,1.6675521078654767,0.0,1.6675521078654767,1.6675521078654767,1.6675521078654767,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.22751783399871783,1.354335677173395,1.354335677173395,0.0,1.354335677173395,1.354335677173395,1.354335677173395,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.22751783399871783,0.09556289364266843,0.09556289364266843,0.0,0.09556289364266843,0.09556289364266843,0.09556289364266843,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.22751783399871783,-3.7891334488734834,3.7891334488734834,0.0,-3.7891334488734834,-3.7891334488734834,-3.7891334488734834,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.22751783399871783,3.7810839428508647,3.7810839428508647,0.0,3.7810839428508647,3.7810839428508647,3.7810839428508647,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.2030939589967602,1.6736725996766921,1.6736725996766921,0.0,1.6736725996766921,1.6736725996766921,1.6736725996766921,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.2030939589967602,1.2652204264099969,1.2652204264099969,0.0,1.2652204264099969,1.2652204264099969,1.2652204264099969,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.2030939589967602,0.08938864231820313,0.08938864231820313,0.0,0.08938864231820313,0.08938864231820313,0.08938864231820313,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.2030939589967602,-3.774991334488735,3.774991334488735,0.0,-3.774991334488735,-3.774991334488735,-3.774991334488735,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.2030939589967602,3.755608636483241,3.755608636483241,0.0,3.755608636483241,3.755608636483241,3.755608636483241,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.20482204200379783,1.7037221121631143,1.7037221121631143,0.0,1.7037221121631143,1.7037221121631143,1.7037221121631143,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.20482204200379783,1.2661400369733111,1.2661400369733111,0.0,1.2661400369733111,1.2661400369733111,1.2661400369733111,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.20482204200379783,0.08102322701315745,0.08102322701315745,0.0,0.08102322701315745,0.08102322701315745,0.08102322701315745,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.20482204200379783,-3.8188041594454067,3.8188041594454067,0.0,-3.8188041594454067,-3.8188041594454067,-3.8188041594454067,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.20482204200379783,3.9549117992014398,3.9549117992014398,0.0,3.9549117992014398,3.9549117992014398,3.9549117992014398,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.1961456669960171,1.7006814674466155,1.7006814674466155,0.0,1.7006814674466155,1.7006814674466155,1.7006814674466155,1
