model,split,feature_count,n_splits,n_eval_mean,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,r2_mean,r2_std,r2_min,r2_max,predictive_sd_mean_mean,predictive_sd_mean_std,predictive_sd_mean_min,predictive_sd_mean_max,coverage_90_mean,coverage_90_std,coverage_90_min,coverage_90_max
adjacency_graph20_rbf_gp,test,20,20,65.0,1.7908795490482976,0.5053219136001708,1.1989759415930377,2.8482758613702073,1.1630206819639541,0.2214153985555015,0.8390754538594318,1.6040261042398325,0.762400608927466,0.10215788890578859,0.48392660029229884,0.8990797686715175,1.7595733512690028,0.10056914749418376,1.5363290321090184,1.9062057328484374,0.8869230769230769,0.047947599343219995,0.7692307692307693,0.9692307692307692
adjacency_graph20_rbf_gp,train,20,20,577.0,0.9194573346314083,0.04558058066597086,0.8074602565489956,0.9801986671368245,0.623573683051456,0.0363547864546164,0.5445310642922019,0.6801838095678924,0.9427830418863212,0.00553495750449642,0.9348951023450393,0.9561616679246296,1.3346489592961424,0.04407135151482779,1.2047006431300955,1.3956929129709759,0.9539861351819757,0.003204327995025977,0.9462738301559792,0.9584055459272097
adjacency_graph20_rbf_gp,valid,20,20,64.0,1.7485568327311598,0.38629155672858045,1.086383187683844,2.4765103831888466,1.1776854094159666,0.18719949632131366,0.8316430622537153,1.4923101857728702,0.785201665698513,0.06312532995357646,0.6100106575478087,0.8607668905217244,1.772107288331074,0.11631020678208688,1.5482969821762071,1.9755237232155731,0.8921875,0.045596602554068486,0.796875,0.96875
atom_bag10_rbf_gp,test,10,20,65.0,1.9706460910980177,0.5665104406170656,1.1250274967723959,3.1533650529211954,1.2048937814729843,0.24212555300139765,0.7616017015473809,1.7720584764776381,0.7100643298745004,0.12705584758967162,0.46767237337178424,0.8966190819380241,1.696070271364189,0.1036245183384986,1.4775157244998718,1.8436549943457583,0.8861538461538462,0.04158192358143719,0.8153846153846154,0.9692307692307692
atom_bag10_rbf_gp,train,10,20,577.0,0.9518540044574234,0.03742985209434755,0.8795028080128968,1.031258766513071,0.6432506428334496,0.028304463885812883,0.5972967492806399,0.6981802652484322,0.9386492427660226,0.005848962635895473,0.9239096953510229,0.9496538007432899,1.3070141344947241,0.031126660445127356,1.2398821868556424,1.36960043459596,0.9378682842287696,0.0034329795016890506,0.92894280762565,0.9428076256499134
atom_bag10_rbf_gp,valid,10,20,64.0,1.99805694502583,0.5182897927322467,1.3715187061681418,2.8673052894475877,1.2599458652966768,0.24462857686737163,0.8715893119551685,1.6015688340594996,0.7201905373395086,0.09278344898079802,0.5354128353328331,0.8373185813701018,1.6907058910514994,0.12795472364522695,1.420887003384626,1.9138342159039645,0.8796875,0.047311563555357504,0.75,0.984375
moladt_full30_rbf_gp,test,30,20,65.0,1.3084947693757214,0.46128372856915706,0.6570633427643306,2.219703511005359,0.7743354835917154,0.14828392473242674,0.4636363786400433,1.0406291846293327,0.8712617132588534,0.06867104896985961,0.6908848659007687,0.9644043057020287,1.1331555086844454,0.08155469048476457,0.9890361767843954,1.241943409212009,0.9215384615384616,0.02683327997761173,0.8769230769230769,0.9846153846153847
moladt_full30_rbf_gp,train,30,20,577.0,0.4506407232869846,0.028647578610601646,0.4159553392263695,0.5068794997408292,0.2968428591815386,0.020397563128762144,0.2713093346800421,0.33751062004469257,0.9862403197706389,0.0017244066179656272,0.9822194504373584,0.9883666413361177,0.7236615886416164,0.031620596570890155,0.6791527471879504,0.7812249945359723,0.9760831889081457,0.0027888807058502893,0.9722703639514731,0.9809358752166378
moladt_full30_rbf_gp,valid,30,20,64.0,1.2799043212551147,0.3792136771371692,0.7387279844956235,2.2286934631998943,0.7974635400646456,0.16222414960927206,0.5168176867826383,1.1309345894977203,0.8789623471807078,0.06626402749347984,0.6841556509576683,0.9509704912713732,1.1407422210058349,0.09866859635169674,0.9561621341236365,1.3177091928699671,0.92578125,0.0358013726168425,0.84375,0.96875
