seed,model,rmse_model,rmse_full_moladt,rmse_delta_model_minus_full_moladt,mae_model,mae_full_moladt,mae_delta_model_minus_full_moladt
0,atom_bag10_rbf_gp,2.125631423951302,2.219703511005359,-0.09407208705405701,1.1915066358176758,0.9317121898639533,0.2597944459537225
0,adjacency_graph20_rbf_gp,2.365578901333271,2.219703511005359,0.14587539032791197,1.2974533300175273,0.9317121898639533,0.36574114015357395
1,atom_bag10_rbf_gp,1.1250274967723959,1.175258408236488,-0.0502309114640922,0.7616017015473809,0.7149643039001745,0.046637397647206424
1,adjacency_graph20_rbf_gp,1.2317525053345817,1.175258408236488,0.05649409709809361,0.8390754538594318,0.7149643039001745,0.12411114995925732
2,atom_bag10_rbf_gp,1.7691271667327413,1.0765547168937906,0.6925724498389507,1.2281742607623458,0.7603338189778766,0.46784044178446926
2,adjacency_graph20_rbf_gp,1.513479376835751,1.0765547168937906,0.4369246599419605,1.14363402177081,0.7603338189778766,0.38330020279293353
3,atom_bag10_rbf_gp,2.3756452581876433,1.8005923225342562,0.5750529356533871,1.2591582072182386,0.8772492671414859,0.3819089400767527
3,adjacency_graph20_rbf_gp,2.322117886666482,1.8005923225342562,0.5215255641322258,1.1902410979599936,0.8772492671414859,0.3129918308185077
4,atom_bag10_rbf_gp,1.6817716934407962,0.6570633427643306,1.0247083506764656,1.0640560699822592,0.4636363786400433,0.600419691342216
4,adjacency_graph20_rbf_gp,1.5861533285323457,0.6570633427643306,0.929089985768015,1.053406729973616,0.4636363786400433,0.5897703513335728
5,atom_bag10_rbf_gp,3.1533650529211954,1.7589676070466567,1.3943974458745387,1.7720584764776381,0.9553700759439022,0.8166884005337359
5,adjacency_graph20_rbf_gp,2.4691950677353987,1.7589676070466567,0.710227460688742,1.509926529809639,0.9553700759439022,0.5545564538657367
6,atom_bag10_rbf_gp,2.649793948096311,2.0208228922014695,0.6289710558948416,1.4714409027885793,0.9934855186317715,0.4779553841568078
6,adjacency_graph20_rbf_gp,2.5868090107059287,2.0208228922014695,0.5659861185044592,1.411441549135907,0.9934855186317715,0.41795603050413543
7,atom_bag10_rbf_gp,1.3309920520016656,0.805803845127574,0.5251882068740916,0.9969605600557753,0.6462012399185203,0.35075932013725497
7,adjacency_graph20_rbf_gp,1.2505278270731788,0.805803845127574,0.4447239819456048,0.9657643953954831,0.6462012399185203,0.3195631554769628
8,atom_bag10_rbf_gp,1.9977846267227983,1.0974635845409042,0.9003210421818941,1.2846425908542238,0.6668042998906445,0.6178382909635793
8,adjacency_graph20_rbf_gp,1.1989759415930377,1.0974635845409042,0.10151235705213346,0.851782297802597,0.6668042998906445,0.18497799791195246
9,atom_bag10_rbf_gp,1.5747843634494632,0.9477607424299268,0.6270236210195363,1.1524243508340002,0.6856258338667744,0.46679851696722574
9,adjacency_graph20_rbf_gp,1.5768948082562353,0.9477607424299268,0.6291340658263085,1.21032018778151,0.6856258338667744,0.5246943539147355
10,atom_bag10_rbf_gp,1.6401799237977497,1.140660791221214,0.4995191325765356,1.069037050318509,0.7481500974365326,0.32088695288197633
10,adjacency_graph20_rbf_gp,1.4809789299794285,1.140660791221214,0.3403181387582144,1.0964283716775836,0.7481500974365326,0.34827827424105096
11,atom_bag10_rbf_gp,1.9800718436176623,1.0323186368527766,0.9477532067648857,1.2023720828596989,0.6903222467654669,0.5120498360942319
11,adjacency_graph20_rbf_gp,1.5446406721654367,1.0323186368527766,0.5123220353126601,1.1051791756817217,0.6903222467654669,0.4148569289162548
12,atom_bag10_rbf_gp,2.8927827222466655,2.204379919591464,0.6884028026552014,1.4769685449821683,1.0406291846293327,0.4363393603528356
12,adjacency_graph20_rbf_gp,2.8482758613702073,2.204379919591464,0.6438959417787431,1.5510307826168948,1.0406291846293327,0.510401597987562
13,atom_bag10_rbf_gp,1.430094635569293,0.9918876151590481,0.43820702041024484,1.0052022547893193,0.6545522502260054,0.35065000456331397
13,adjacency_graph20_rbf_gp,1.7264562452281549,0.9918876151590481,0.7345686300691068,1.1628350525120723,0.6545522502260054,0.5082828022860669
14,atom_bag10_rbf_gp,2.791713905128544,1.6392347606206177,1.152479144507926,1.4996264322063075,0.9683852322866908,0.5312411999196167
14,adjacency_graph20_rbf_gp,2.0601148961480007,1.6392347606206177,0.420880135527383,1.2672046268810746,0.9683852322866908,0.2988193945943838
15,atom_bag10_rbf_gp,1.6315736857312135,1.1414843846378282,0.49008930109338533,1.0838909347985577,0.7566808411464366,0.32721009365212106
15,adjacency_graph20_rbf_gp,1.4631463256300086,1.1414843846378282,0.3216619409921804,1.003111348460903,0.7566808411464366,0.24643050731446647
16,atom_bag10_rbf_gp,2.3746322479742523,1.1663504438388457,1.2082818041354066,1.490069850804889,0.8304946130085016,0.6595752377963875
16,adjacency_graph20_rbf_gp,2.236986324497485,1.1663504438388457,1.0706358806586391,1.6040261042398325,0.8304946130085016,0.7735314912313309
17,atom_bag10_rbf_gp,1.8236214669957862,1.1474274500071844,0.6761940169886018,1.1902271435081546,0.7699839535283096,0.420243189979845
17,adjacency_graph20_rbf_gp,1.400284295675491,1.1474274500071844,0.2528568456683067,1.047962149446002,0.7699839535283096,0.27797819591769246
18,atom_bag10_rbf_gp,1.4025445645855599,0.940341607820825,0.4622029567647349,0.9128547635840196,0.6031342823085512,0.3097204812754685
18,adjacency_graph20_rbf_gp,1.3794191525766883,0.940341607820825,0.43907754475586336,0.9438623342887227,0.6031342823085512,0.34072805198017153
19,atom_bag10_rbf_gp,1.6617837440373044,1.2058188049838685,0.45596493905343594,0.9856028152699491,0.7289940437233352,0.2566087715466139
19,adjacency_graph20_rbf_gp,1.5758036236288422,1.2058188049838685,0.3699848186449737,1.0057280999677631,0.7289940437233352,0.27673405624442793
