dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,student_df,parameter_count,runtime_seconds_mean,runtime_seconds_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,mean_log_predictive_density_mean,mean_log_predictive_density_std,coverage_90_mean,coverage_90_std,predictive_sd_mean_mean,predictive_sd_mean_std,seed
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,,6,2.0290691669797525,,0.6384320681753162,,0.4120496563860762,,0.9617567626653868,,-0.9822591127175025,,0.9538461538461539,,1.141685162365883,,aggregate
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,,6,2.0290691669797525,,0.04545745392869427,,0.026747203152994316,,0.9998640307057091,,0.46258021527589954,,0.9982668977469671,,0.24665216830982883,,aggregate
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,,6,2.0290691669797525,,1.1177673038215503,,0.664860588145261,,0.9386481326462534,,-1.4450601453551686,,0.90625,,0.9971049578460274,,aggregate
