dataset,representation,model,method,split,seed,nominal_coverage,empirical_coverage
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,30,0.5,0.6461538461538462
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,30,0.8,0.8615384615384616
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,30,0.9,0.8923076923076924
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,30,0.95,0.9692307692307692
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,12,0.5,0.8089668615984406
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,12,0.8,0.9473684210526315
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,12,0.9,0.9571150097465887
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,12,0.95,0.9766081871345029
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,18,0.5,0.546875
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,18,0.8,0.84375
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,18,0.9,0.890625
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,18,0.95,0.953125
