split,n_splits,n_eval_mean,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,r2_mean,r2_std,r2_min,r2_max,predictive_sd_mean_mean,predictive_sd_mean_std,predictive_sd_mean_min,predictive_sd_mean_max,coverage_90_mean,coverage_90_std,coverage_90_min,coverage_90_max
test,20,65.0,0.9037752336074567,0.16768728118607035,0.6384320681753162,1.2940429793796686,0.5940065621146708,0.08663862514962453,0.4120496563860762,0.7884779483701314,0.9392856695360108,0.018867866317234694,0.8952076277709525,0.967356121626018,1.103656648666474,0.09716450416401536,0.9657250948548958,1.2395673483376273,0.9284615384615386,0.023557743947724943,0.8923076923076924,0.9692307692307692
train,20,577.0,0.036590697664194746,0.007549043295569136,0.015157933116977556,0.0462229049432301,0.02062572023174252,0.0046585192376503454,0.007919849266789474,0.026747203152994316,0.9999057390882007,3.420759157858099e-05,0.9998563547241047,0.999984598419251,0.20924050353979878,0.026838270001102598,0.12909146473602348,0.24696150127260552,0.9986135181975735,0.0007112501574247108,0.9982668977469671,1.0
valid,20,64.0,0.9818485667190131,0.1743192047889664,0.6391222592537168,1.2505323671013393,0.6369305905442666,0.0858529257158871,0.44415872364142295,0.8623342916315496,0.9306631468798757,0.02074750053180125,0.8811832819972659,0.9684377608810021,1.0836873412389276,0.07459370206288578,0.9971049578460274,1.2533452934884797,0.9265625,0.03404446347676892,0.875,0.984375
