dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,runtime_seconds,seed,parameter_count,student_df,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,selection_nll,final_nll
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.5521180419600569,0,6,,0.039615447220241747,0.022711106634316677,0.9998877146383275,0.6041372684438482,1.0,0.21402419930935818,,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.5521180419600569,0,6,,1.0493368562919008,0.6731123618422266,0.9409548091617135,-1.258433874730599,0.953125,1.1027127068327656,151.8535112241404,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.5521180419600569,0,6,,1.2940429793796686,0.7884779483701314,0.922783227312528,-1.6178612225884261,0.8923076923076924,1.05557937293422,,134.22651649033264
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.5651953330379911,1,6,,0.03508484934614663,0.019333602247318768,0.9999201192688887,0.6529740715637584,0.9982668977469671,0.2042946504075415,,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.5651953330379911,1,6,,1.115729974324191,0.7295437110389278,0.9373508061684115,-1.5199453851855784,0.890625,1.2533452934884797,137.78995164379137,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.5651953330379911,1,6,,0.9357445793613941,0.6783713820863867,0.9017666677165053,-1.2743975145042845,0.9384615384615385,1.201200858606563,,133.86554884115742
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.5903204589849338,2,6,,0.03344330642049598,0.018274377086537008,0.9999272034754696,0.6922141055969352,0.9982668977469671,0.1964761778779942,,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.5903204589849338,2,6,,0.7410496423170941,0.545612880582977,0.9684377608810021,-1.130170444859443,0.921875,1.0328025909971177,156.77996644847116,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.5903204589849338,2,6,,0.8058967115773126,0.5669589841084425,0.9323911641844979,-1.2910747889498397,0.9076923076923077,1.2395673483376273,,131.14734656423695
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,train,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,577,8396,1,0.6172297499724664,3,6,,0.04197449698007444,0.02346179213831002,0.9998805813435102,0.5417939776329551,0.9982668977469671,0.2279432858586644,,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,valid,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,513,64,8396,1,0.6172297499724664,3,6,,1.0122970551654227,0.6329848114615084,0.9076459650772299,-1.1848889230570991,0.9375,1.0173166464958485,148.04540961751053,
freesolv,moladt,moladt_wl_system_gp,empirical_bayes_exact_gp,test,moleculenet_random_like:513/64/65;final_refit=train+valid,642,642,577,65,8396,1,0.6172297499724664,3,6,,1.09169370957364,0.6607068499672936,0.9201010753407336,-1.315007176250839,0.9076923076923077,0.969697905625716,,143.2432952182345
