generated_at,command,row_type,task,dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,seed,parameter_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,student_df,train_rmse,test_rmse,test_minus_train_rmse,train_mae,test_mae,train_r2,test_r2,fit_runtime_seconds,literature_context,literature_rmse,literature_metric,directly_comparable,note,source,stage,stage_description,molecule_count,success_count,failure_count,total_runtime_seconds,molecules_per_second,median_latency_us,p95_latency_us,peak_rss_mb
20260506_151328,freesolv,predictive_summary,freesolv / moladt_featurized,freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,,moleculenet_random_like:513/64/65,642.0,642.0,513.0,65.0,,,,,,,,,,,,0.5062798772203115,0.781322450757539,0.2750425735372275,0.32857866029615623,0.6021520222906638,0.9825791985581915,0.9315135202448815,73.97693704196718,MPNN RMSE 1.150,1.15,RMSE,partial,"MoleculeNet Table 3 is the paper baseline. The local result is the fixed MolADT benchmark run on the repo split, so the metric matches but the split and model family still differ. MoleculeNet Table 3 graph-based baseline for FreeSolv. The metric matches, but the local split and model family still differ from the paper.",https://pmc.ncbi.nlm.nih.gov/articles/PMC5868307/,,,,,,,,,,
20260506_151328,freesolv,predictive_metric,freesolv / moladt_featurized / train,freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,moleculenet_random_like:513/64/65,642.0,642.0,513.0,513.0,24,2000,12,4,0.5062798772203115,0.32857866029615623,0.9825791985581915,-0.8750928015110802,0.9571150097465887,0.7442817719015359,,,,,,,,,73.97693704196718,,,,,,,,,,,,,,,,
20260506_151328,freesolv,predictive_metric,freesolv / moladt_featurized / valid,freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,moleculenet_random_like:513/64/65,642.0,642.0,513.0,64.0,24,2000,18,4,1.1902336493608012,0.8023984547659059,0.9287045632431734,-1.563936354606207,0.90625,1.1466708273610826,,,,,,,,,73.97693704196718,,,,,,,,,,,,,,,,
20260506_151328,freesolv,predictive_metric,freesolv / moladt_featurized / test,freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,moleculenet_random_like:513/64/65,642.0,642.0,513.0,65.0,24,2000,30,4,0.781322450757539,0.6021520222906638,0.9315135202448815,-1.1612657810539995,0.9538461538461539,1.062705547956252,,,,,,,,,73.97693704196718,,,,,,,,,,,,,,,,
