dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,runtime_seconds,seed,parameter_count,student_df,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,train,long:fractional_0.8/0.1/0.1,133885,133885,107108,107108,294,1,29335.97700570902,ensemble,1763175,,0.0722907079354446,0.05043383076701778,0.9977773430608573,-2612973214.007304,2.8009112297867574e-05,1.0000000000000004e-06
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,valid,long:fractional_0.8/0.1/0.1,133885,133885,107108,13388,294,1,29335.97700570902,ensemble,1763175,,0.08142450501813915,0.05450333825429938,0.9969888086491656,-3314974995.827912,0.0,1.0000000000000002e-06
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,test,long:fractional_0.8/0.1/0.1,133885,133885,107108,13389,294,1,29335.97700570902,ensemble,1763175,,0.09229494108842443,0.05562981595110329,0.9964639797579359,-4259178062.361297,0.0,1.0000000000000002e-06
