dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,runtime_seconds,seed,parameter_count,student_df,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,screened_feature_count
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,moleculenet_random_like:513/64/65,642,642,513,513,24,2000,73.97693704196718,12,4,,0.5062798772203115,0.32857866029615623,0.9825791985581915,-0.8750928015110802,0.9571150097465887,0.7442817719015359,24.0
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,moleculenet_random_like:513/64/65,642,642,513,64,24,2000,73.97693704196718,18,4,,1.1902336493608012,0.8023984547659059,0.9287045632431734,-1.563936354606207,0.90625,1.1466708273610826,24.0
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,moleculenet_random_like:513/64/65,642,642,513,65,24,2000,73.97693704196718,30,4,,0.781322450757539,0.6021520222906638,0.9315135202448815,-1.1612657810539995,0.9538461538461539,1.062705547956252,24.0
