dataset,target,model_name,model_family,metric_name,metric_value,units,split_protocol,source_title,source_url,directly_comparable,note
freesolv,expt,MPNN,3d_message_passing,RMSE,1.15,kcal/mol,MoleculeNet random split (Table 3),MoleculeNet: a benchmark for molecular machine learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC5868307/,False,"MoleculeNet Table 3 graph-based baseline for FreeSolv. The metric matches, but the local split and model family still differ from the paper."
qm9,mu,DTNN,distance_tensor_network,MAE,2.35,milli-Debye,MoleculeNet random split (Table 3),MoleculeNet: a benchmark for molecular machine learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC5868307/,False,"MoleculeNet Table 3 graph-based baseline for QM9. The paper metric is MAE, but the local split and model family still differ from the original benchmark."
