generated_at,command,row_type,task,dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,seed,parameter_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,student_df,train_rmse,test_rmse,test_minus_train_rmse,train_mae,test_mae,train_r2,test_r2,fit_runtime_seconds,literature_context,literature_rmse,literature_metric,directly_comparable,note,source,stage,stage_description,molecule_count,success_count,failure_count,total_runtime_seconds,molecules_per_second,median_latency_us,p95_latency_us,peak_rss_mb
20260418_055420,zinc-timing,timing_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smiles_csv_to_string,Read matched SMILES CSV rows into Python strings without chemistry parsing.,250000,250000,0,0.6166935419896618,405387.7379571959,2.084,2.25,344.703125
20260418_055420,zinc-timing,timing_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moladt_csv_to_moladt,Read cached MolADT CSV rows and decode the embedded MolADT payload into the local typed Molecule object.,250000,250000,0,323.64945525000803,772.4406636398743,1135.834,1384.1270499999996,442.890625
20260418_055420,zinc-timing,timing_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smiles_to_json,Parse matched SMILES strings into MolADT and serialize the result to JSON payloads.,250000,250000,0,299.02919787500286,836.0387606848427,1121.667,1561.541,542.03125
20260418_055420,zinc-timing,timing_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdf_to_moladt,Read cached SDF files and parse them into the local typed Molecule object.,250000,250000,0,223.1826858749846,1120.1585778031056,523.709,1827.5,9270.703125
20260418_055420,zinc-timing,timing_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdf_to_smiles,"Read cached SDF files, validate the decoded molecules, and render them into the supported SMILES subset.",250000,249989,11,831.8553915000521,300.5330043593092,1921.375,8168.1702,15017.015625
20260418_055420,zinc-timing,timing_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moladt_to_json,Serialize parsed MolADT objects to JSON and write the JSON files used by the final decode stage.,250000,250000,0,165.0996105419472,1514.23736966649,467.0,1129.546149999999,15029.578125
20260418_055420,zinc-timing,timing_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,json_to_moladt,Read JSON files and decode them back into the local typed Molecule object.,250000,250000,0,413.9692870840081,603.909535803961,1417.5,2418.33305,15034.03125
20260418_055420,zinc-timing,timing_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,json_to_smiles,"Read JSON files, decode them into Molecule values, validate them, and render the supported SMILES subset.",250000,249989,11,847.5354608749622,294.9729085576076,2875.166,4495.046149999999,15036.1875
