generated_at,command,row_type,task,dataset,representation,model,method,split,split_scheme,source_row_count,used_row_count,n_train,n_eval,feature_count,draw_count,seed,parameter_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,student_df,train_rmse,test_rmse,test_minus_train_rmse,train_mae,test_mae,train_r2,test_r2,fit_runtime_seconds,literature_context,literature_rmse,literature_metric,directly_comparable,note,source,stage,stage_description,molecule_count,success_count,failure_count,total_runtime_seconds,molecules_per_second,median_latency_us,p95_latency_us,peak_rss_mb
20260430_141554,freesolv,predictive_summary,freesolv / moladt_featurized,freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,,moleculenet_random_like:513/64/65,642.0,642.0,513.0,65.0,,,,,,,,,,,,0.5095171409441692,0.7377493540510924,0.2282322131069232,0.3311270330030776,0.5305560912399211,0.982355701499055,0.938939281214866,63.865844040999946,MPNN RMSE 1.150,1.15,RMSE,partial,"MoleculeNet Table 3 is the paper baseline. The local result is the fixed MolADT benchmark run on the repo split, so the metric matches but the split and model family still differ. MoleculeNet Table 3 graph-based baseline for FreeSolv. The metric matches, but the local split and model family still differ from the paper.",https://pmc.ncbi.nlm.nih.gov/articles/PMC5868307/,,,,,,,,,,
20260430_141554,freesolv,predictive_metric,freesolv / moladt_featurized / train,freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,moleculenet_random_like:513/64/65,642.0,642.0,513.0,513.0,24,2000,12,4,0.5095171409441692,0.3311270330030776,0.982355701499055,-0.875979988018315,0.9551656920077972,0.7413472465439911,,,,,,,,,63.865844040999946,,,,,,,,,,,,,,,,
20260430_141554,freesolv,predictive_metric,freesolv / moladt_featurized / valid,freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,moleculenet_random_like:513/64/65,642.0,642.0,513.0,64.0,24,2000,18,4,1.1273440414518725,0.7689845109884539,0.9360397381550043,-1.5352762498360937,0.90625,1.1345333572018377,,,,,,,,,63.865844040999946,,,,,,,,,,,,,,,,
20260430_141554,freesolv,predictive_metric,freesolv / moladt_featurized / test,freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,moleculenet_random_like:513/64/65,642.0,642.0,513.0,65.0,24,2000,30,4,0.7377493540510924,0.5305560912399211,0.938939281214866,-1.1108359510212973,0.9692307692307692,1.0629954809959432,,,,,,,,,63.865844040999946,,,,,,,,,,,,,,,,
